Date,Tmax_C,Tmin_C,Rainfall_mm,Division
19810525,32.13,25.91,0.02,Chattogram
19810526,30.07,26.18,4.09,Chattogram
19810527,32.31,25.57,2.46,Chattogram
19810528,31.77,26.55,9.31,Chattogram
19810529,31.93,26.64,13.92,Chattogram
19810530,31.49,26.44,13.55,Chattogram
19810531,30.24,26.95,7.02,Chattogram
19810601,30.89,26.21,6.18,Chattogram
19810602,29.96,26.04,7.16,Chattogram
19810603,29.68,25.32,3.81,Chattogram
19810604,30.74,26.83,5.49,Chattogram
19810605,30.23,26.83,15.2,Chattogram
19810606,30.22,26.43,9.87,Chattogram
19810607,30.66,25.29,3.19,Chattogram
19810608,31.41,25.34,2.4,Chattogram
19810609,31.69,25.02,0.01,Chattogram
19810610,32.01,24.95,0.46,Chattogram
19810611,33.4,25.14,6.47,Chattogram
19810612,32.26,26.67,2.88,Chattogram
19810613,32.39,26.91,1.83,Chattogram
19810614,31.01,27.31,20.09,Chattogram
19810615,31.69,26.38,12.52,Chattogram
19810616,30.02,25.29,2.34,Chattogram
19810617,31.55,25.44,0.66,Chattogram
19810618,32.26,24.39,1.48,Chattogram
19810619,33.54,25.92,10.15,Chattogram
19810620,31.44,25.64,9.24,Chattogram
19810621,31.46,25.97,11.75,Chattogram
19810622,30.96,24.65,39.26,Chattogram
19810623,31.5,25.84,11.9,Chattogram
19810624,31.03,25.8,13.77,Chattogram
19810625,30.71,26.03,18.69,Chattogram
19810626,30.55,25.63,3.47,Chattogram
19810627,30.92,25.97,3.16,Chattogram
19810628,30.55,25.85,0.43,Chattogram
19810629,28.96,26.37,7.2,Chattogram
19810630,29.91,26.35,14.03,Chattogram
19810701,29.01,25.99,70.24,Chattogram
19810702,29.86,26.67,42.67,Chattogram
19810703,30.29,26.68,27.48,Chattogram
19810704,30.7,26.42,14.46,Chattogram
19810705,29.81,26.0,6.62,Chattogram
19810706,30.62,26.16,1.96,Chattogram
19810707,30.27,25.41,5.38,Chattogram
19810708,30.66,25.56,9.27,Chattogram
19810709,30.08,25.88,14.04,Chattogram
19810710,30.12,25.9,11.44,Chattogram
19810711,29.53,25.55,8.86,Chattogram
19810712,28.64,25.5,4.7,Chattogram
19810713,29.95,25.71,8.79,Chattogram
19810714,29.9,25.82,13.21,Chattogram
19810715,30.58,26.02,8.84,Chattogram
19810716,29.73,26.26,6.1,Chattogram
19810717,29.67,25.98,31.65,Chattogram
19810718,29.04,25.82,51.25,Chattogram
19810719,28.02,25.77,22.95,Chattogram
19810720,31.53,25.27,18.98,Chattogram
19810721,30.58,25.78,13.19,Chattogram
19810722,29.63,25.79,38.56,Chattogram
19810723,30.39,25.41,29.31,Chattogram
19810724,31.12,25.87,0.76,Chattogram
19810725,30.03,25.89,2.67,Chattogram
19810726,29.21,26.0,10.55,Chattogram
19810727,29.84,25.62,51.87,Chattogram
19810728,30.37,25.3,5.67,Chattogram
19810729,30.06,25.86,2.75,Chattogram
19810730,28.73,25.81,8.0,Chattogram
19810731,30.19,25.35,18.81,Chattogram
19810801,30.3,25.36,10.74,Chattogram
19810802,30.45,25.52,11.15,Chattogram
19810803,30.67,25.68,11.37,Chattogram
19810804,30.56,25.49,6.76,Chattogram
19810805,30.91,25.81,3.14,Chattogram
19810806,31.08,26.17,4.74,Chattogram
19810807,31.15,25.65,9.78,Chattogram
19810808,30.22,25.47,7.76,Chattogram
19810809,29.6,25.5,17.82,Chattogram
19810810,30.01,25.62,35.84,Chattogram
19810811,30.11,25.88,17.03,Chattogram
19810812,30.38,26.82,11.56,Chattogram
19810813,31.15,26.18,5.84,Chattogram
19810814,30.74,25.52,10.27,Chattogram
19810815,30.8,25.54,0.13,Chattogram
19810816,30.3,25.6,2.98,Chattogram
19810817,29.95,25.49,3.84,Chattogram
19810818,29.83,25.78,3.63,Chattogram
19810819,30.46,25.91,3.26,Chattogram
19810820,30.75,26.0,6.96,Chattogram
19810821,28.91,26.33,28.03,Chattogram
19810822,30.31,25.68,8.82,Chattogram
19810823,29.45,25.37,14.6,Chattogram
19810824,30.08,25.79,20.14,Chattogram
19810825,30.04,26.14,17.12,Chattogram
19810826,30.11,25.89,6.21,Chattogram
19810827,28.97,25.69,3.3,Chattogram
19810828,29.98,25.57,8.49,Chattogram
19810829,30.55,25.46,16.81,Chattogram
19810830,30.88,25.85,1.05,Chattogram
